Name,Street,Postcode,City,Category,Description,Email Address,Phone,Website,Media,Marker,Latitude,Longitude
West of England Herb Group,Church Road,BS8 3QP,Bristol,Herbalism,"Are you interested in herbs and their uses? Would you like to learn more?
The West of England Herb Group normally meets every month (except August) at Abbots Leigh Village Hall, near Bristol. Meetings start at 7.30pm and are generally on the 4th Tuesday of the month.
Every year, we are proud to host knowledgeable speakers on a huge range of topics related to all aspects of plants and their use by mankind. 

Talks typically cover culinary, medicinal or other uses of plants, how to grow them, or their history and folklore. There is something to suit all interests.

Everyone is welcome - come along and bring a friend! You don't need to be a member to attend but it will save you money. You don't have to book a seat in advance - just turn up!",,,https://www.herbgroup.org/home,,,51.46074391,-2.660014471
Growing Happiness Allotment Project,Glastonbury High S,BA6 9DZ ,Glastonbury,Growing,"The Growing Happiness allotment project is a community allotment/gardening project for people to meet others, get active and increase those dopamine levels! 
Run by The Volunteer Network,  based at 9 Silver Street, Glastonbury, BA6 8BS, we are running sessions, every Tuesday & Wednesday,
morning and afternoon.  
If the weather is poor then we will use the time under cover, to find something else to do. e.g. potting up some seeds, working out what people want to grow in a raised bed, making a bee and bug hotel to help get rid of the pests and save the wildlife; or just a have a cup of tea, cook up our produce and then eat it!",,,https://somersetcommunityfood.org.uk/projects/growing-happiness-allotment-project,,,51.14811709,-2.713425832
The Community Farm,Denny Lane,BS40 8SZ,Chew Magna,Growing,"The Community Farm is a not-for-proft, organic farm, sharing the benefits of better food.

We would love you to join us on our beautiful land overlooking Chew Valley Lake, just south of Bristol for events, courses and volunteering. Every year we are proud to welcome more than 1,900 people. ",,,https://www.thecommunityfarm.co.uk/,,,51.35111471,-2.612421785
Roots & Feathers,,TA24 8SX,Tivington,Foraging,"Join us for some informative wild foraging walks around West Somerset.

Learn to identify seasonal wild edible plants, their uses throughout history and their benefits to our overall health and wellbeing.

We are proudly supported by Wild Harvest School having completed their Teach Foraging course",,,https://www.rootsandfeathers.co.uk/wildforaging,,,51.19644977,3.5287888
Farm Eco Community Farm,Lodge Lane,NG13 8JL,Screveton,Growing,"Discover FarmEco Community Care, where we hold regular wellbeing and nature connection events, volunteer action days and specialise in growing organic fruit and nuts. Join us in cultivating a vibrant community farm that fosters both the land and its people.",,,https://farmeco.co.uk/,,,52.98691989,-0.9106551294
Bath City Farm,Kelston View,BA2 1NW,Bath,Growing,"Situated on a beautiful 37-acre site, Bath City Farm is a working Farm, that’s also a much loved charity and a popular visitor attraction. We provide education, training and therapeutic activities to people in the local community

The site benefits from stunning views over Bath and includes a community cafe and farm shop, farm animals, children’s playground, woodland and nature trails. Entrance is free however donations are very welcome",,,https://www.bathcityfarm.org.uk/,,,51.37509861,-2.39459946
Northaw Community Orchard,Northaw,EN6 4NP,Potters Bar,Growing,"Northaw Community Orchard is a public green space in the heart of Northaw in Hertfordshire, run by volunteers for everyone to enjoy. You can visit it any time and experience its tranquility or take part in events and activities through the year. We aim to provide opportunities for education, conservation and healthy living and we look forward to seeing you soon (please note that dogs are not permitted on the site). Volunteering: 1st Saturday of the Month 10.30am - 1pm",,,https://northaworchard.com/,,,51.70527775,-0.1447341836
Winthorpe Road Community Garden,Wosley Road,NG24 2AA,Newark,Growing,"We are a small community garden situated in the grounds of the Church of Promise on the junction of Wolsey Road and Winthorpe Road in Newark. We have about 12 growing beds where we grow food for the local community, food club, soup kitchen, the elderly who live close by and volunteers. We have recently installed a large raised growing bed for wheelchair users and people with physical difficulties, a plastic bottle polytunnel, solar powered irrigation system and a wheel chair accessible path. We are raring to go and ready to expand both our volunteer group and our client groups. The people who use the garden most at present are the older group of the local community, some of whom come to garden and some for a cuppa and a chat. We have a basic room for socialising and to sue in bad weather. We currently open for two sessions a week and hold Saturday morning working parties/functions about once a month. Volunteers with a disability are most welcome",,,https://www.facebook.com/groups/1152061852266088/,,,53.08739404,-0.7995694202
Sea Mills Community Garden,Sylvan Way,BS9 2NL,Bristol,Growing,"We are a group of keen gardeners and helpers working to transform a patch of disused allotments above Sylvan Way. We aim to grow food together in a nature friendly way, and to provide a natural space to enjoy for our community. We really love our wild neighbours, and take care to leave lots of space for nature. We are open for volunteering and visits on Wednesday and Thursday afternoons from 1-4pm. We hope all ages and abilities can get involved with the garden tasks, and if you come along you are welcome to take a share of the produce that we pick that day. We always leave plenty of time for chat, so bring along a drink and join in. Occasionally we might be shut for poor weather or lack of volunteer leaders so do check if it's the first time you are coming.",,,https://www.smci.org.uk/community-garden,,,51.48994796,-2.650391045
Lockleaze Community Orchard,Constable Road,BS7 9UN,Bristol,Growing,"Lockleaze Community Orchard is a project that looks after an area of open green space along the Concorde Way cycle path near Constable Road, Lockleaze.
We encourage local residents, schools and youth groups to become involved by helping to maintain the site, clear brambles, pick litter, and water the trees - sharing the fruits of our labour.
We welcome everyone who would like to learn more about different fruit trees, growing, pruning etc",,,https://www.facebook.com/groups/lockleazecommunityorchard,,,51.49276022,-2.569805236
Nether Edge Herbarium,Abbeydale Road,S7 1FP,Sheffield,Herbalism,"Nether Edge Herbarium; Sheffield expert herbalist for medicinal, traditional and holistic treatments. They run a shop, but also hold clinical workshops to attend.",,,https://traditionalherbalist.com/,,,53.35956202,-1.48033846
Broadway Community Garden,Oakfield Road,BA11 4JE,Frome,Growing,"After years of campaigning Broadway Community Gardens has finally been saved for the community.

 It is now slowly being transformed into a beautiful, productive and nourishing garden for all of Frome to enjoy (including the birds and the badgers! GATHER IN THE GARDEN

Every Sunday we gather in Broadway Community Gardens between 10am and 12pm, and everyone (including little people) is welcome to join! We are also there on Wednesdays between 2pm and 4pm. 

There are always a few jobs that need doing, from watering and weeding the beds, to tackling the brambles and bindweed. Or you are welcome to just come along for a chat, and to enjoy this magical space. ",,,https://www.broadwaycommunitygardens.com/,,,51.23307073,-2.3353911
The MCA,Feltham Lane,BA11 5AJ,Frome,Growing,"The MCA’s Community Garden on Feltham Lane is kept together by volunteers, come rain or shine. They grow organic vegetables and cut flowers that are on sale most Thursday mornings from late Spring and during the Summer (through to the last Autumn Raspberries, Leeks and Parsnips later in the year). Why not join the MCA Garden Gang to make new friends and help maintain this lovely little space? Or just call by on a Thursday morning and pick up some very affordable delicious veg and soft fruit. To volunteer, just drop by on a Thursday morning wearing old clothes and strong shoes. We provide tools and tea. To contact the group leader, just email us at admin1@mcafrome.org.uk and we will pass your message on",,,https://mcafrome.wordpress.com/community-garden/,,,51.22008936,-2.319250013
Hedgro,Selwood Road,BA11 3JS,Frome,Foraging,"Come and join me to learn the joys of foraging! I will be taking small groups with a maximum of 12 adults out into some of the local foraging hot spots where we will search for seasonal delicacies and harvest some to take home. Each session varies in length, with time to delight in nature and share some delicious, foraged snacks which I will provide.",,,https://www.hejgro.co.uk/foraging-events,,,51.23267867,-2.326632887
